"Step","num_layers: 8 - Test/RangeResNorm","num_layers: 8 - Test/RangeResNorm__MIN","num_layers: 8 - Test/RangeResNorm__MAX","num_layers: 7 - Test/RangeResNorm","num_layers: 7 - Test/RangeResNorm__MIN","num_layers: 7 - Test/RangeResNorm__MAX","num_layers: 6 - Test/RangeResNorm","num_layers: 6 - Test/RangeResNorm__MIN","num_layers: 6 - Test/RangeResNorm__MAX","num_layers: 5 - Test/RangeResNorm","num_layers: 5 - Test/RangeResNorm__MIN","num_layers: 5 - Test/RangeResNorm__MAX","num_layers: 4 - Test/RangeResNorm","num_layers: 4 - Test/RangeResNorm__MIN","num_layers: 4 - Test/RangeResNorm__MAX","num_layers: 3 - Test/RangeResNorm","num_layers: 3 - Test/RangeResNorm__MIN","num_layers: 3 - Test/RangeResNorm__MAX","num_layers: 2 - Test/RangeResNorm","num_layers: 2 - Test/RangeResNorm__MIN","num_layers: 2 - Test/RangeResNorm__MAX","num_layers: 1 - Test/RangeResNorm","num_layers: 1 - Test/RangeResNorm__MIN","num_layers: 1 - Test/RangeResNorm__MAX"
"21","0.620170958340168","0.3681621849536896","0.7116509675979614","0.5506077483296394","0.36968615651130676","0.7170805335044861","0.3998188227415085","0.34234049916267395","0.46390673518180847","0.40617460012435913","0.3144611418247223","0.49276819825172424","0.359448105096817","0.3246277868747711","0.42690330743789673","0.31060870736837387","0.2863600254058838","0.3238488435745239","0.28837790340185165","0.2667781114578247","0.30570918321609497","0.15998165868222713","0.11950389295816422","0.20336540043354034"
"22","0.6288841366767883","0.40910452604293823","0.7261530756950378","0.5760603323578835","0.3761707842350006","0.7086710333824158","0.42757000774145126","0.3450485169887543","0.5271216630935669","0.43356069922447205","0.3141944706439972","0.5469396114349365","0.37245012819767","0.3261283040046692","0.47494328022003174","0.3154493644833565","0.2890113592147827","0.3354051113128662","0.28790976107120514","0.26670312881469727","0.30497196316719055","0.16437238082289696","0.1225714385509491","0.20695649087429047"
"23","0.6512329876422882","0.4787922501564026","0.7417615652084351","0.6027735322713852","0.3875078558921814","0.7242138385772705","0.46177075803279877","0.3492855727672577","0.5966825485229492","0.4663396179676056","0.3141152858734131","0.6067169308662415","0.38512612134218216","0.3279326558113098","0.519156813621521","0.32139717042446136","0.29184648394584656","0.3529074192047119","0.288654625415802","0.2651411294937134","0.30768880248069763","0.16874783113598824","0.1270357072353363","0.20934689044952393"
"24","0.6695586144924164","0.5461315512657166","0.7382574081420898","0.6302917525172234","0.40457144379615784","0.7582027316093445","0.49593330174684525","0.34965580701828003","0.6560001969337463","0.4967292547225952","0.32476338744163513","0.6452932953834534","0.40016455203294754","0.33572590351104736","0.5703076720237732","0.3295127600431442","0.29650378227233887","0.3740115463733673","0.2888123169541359","0.2673042118549347","0.30933424830436707","0.17270155251026154","0.1324910670518875","0.21131806075572968"
"25","0.6944893300533295","0.6402212977409363","0.7425848245620728","0.6467468738555908","0.4302271604537964","0.7510196566581726","0.528423622250557","0.35553357005119324","0.685899555683136","0.5243633985519409","0.3324476480484009","0.670633852481842","0.4117766171693802","0.33865004777908325","0.6089422106742859","0.34127891808748245","0.3022691011428833","0.4069720506668091","0.29042793810367584","0.26870638132095337","0.3124748468399048","0.1757255606353283","0.13599587976932526","0.21324484050273895"
"26","0.7017680555582047","0.6768360137939453","0.730489194393158","0.6621238961815834","0.4603719413280487","0.7499174475669861","0.5542970076203346","0.3604368269443512","0.6884458661079407","0.5476614311337471","0.34731897711753845","0.6877539753913879","0.42617447674274445","0.34230169653892517","0.6439972519874573","0.35401635617017746","0.31125959753990173","0.4365920424461365","0.29129134118556976","0.2713436186313629","0.31434351205825806","0.17912258580327034","0.1404806673526764","0.21371249854564667"
"27","0.7164221554994583","0.6766642928123474","0.7499829530715942","0.6705656498670578","0.4975300431251526","0.7470564246177673","0.5744766369462013","0.3700813353061676","0.683098316192627","0.5668178349733353","0.3645690679550171","0.6943210959434509","0.4374287575483322","0.34607619047164917","0.6668382883071899","0.36831559240818024","0.32108092308044434","0.47182032465934753","0.2939659059047699","0.2741457223892212","0.3186895549297333","0.18227466940879822","0.14564065635204315","0.21502000093460083"
"28","0.7288466095924377","0.6818591356277466","0.7719541192054749","0.6871352195739746","0.5588415861129761","0.7467485666275024","0.5954582616686821","0.37965092062950134","0.6954355835914612","0.5817994549870491","0.38751885294914246","0.6929848194122314","0.44824232161045074","0.35276615619659424","0.6717348098754883","0.3853561505675316","0.3275247812271118","0.5072486996650696","0.296017661690712","0.2771998941898346","0.3222145736217499","0.18505318090319633","0.1489880084991455","0.21593515574932098"
"29","0.7337584942579269","0.6929599046707153","0.7770602107048035","0.6999392807483673","0.6081783175468445","0.7438508868217468","0.607785627245903","0.3921130895614624","0.6912180781364441","0.5976381525397301","0.4200373589992523","0.6862675547599792","0.4547944962978363","0.3601471781730652","0.65833979845047","0.4055177867412567","0.3319258689880371","0.5494893789291382","0.30068185180425644","0.2810567617416382","0.330313116312027","0.18739748746156693","0.15231594443321228","0.21705415844917297"
"30","0.7341371178627014","0.6806167960166931","0.7950679659843445","0.7073864638805389","0.6400130391120911","0.7521990537643433","0.6128314062952995","0.40987977385520935","0.689670741558075","0.6129686385393143","0.46752309799194336","0.6807337999343872","0.4671652913093567","0.3687984049320221","0.6594760417938232","0.4261624291539192","0.3381235897541046","0.5798121094703674","0.30461543053388596","0.2842288315296173","0.33481550216674805","0.1903412602841854","0.15694263577461243","0.21678058803081512"
"31","0.7334080040454865","0.7005582451820374","0.7663203477859497","0.7096742242574692","0.6741883754730225","0.7449172139167786","0.6225812137126923","0.4329962730407715","0.7108895778656006","0.6263784915208817","0.5213504433631897","0.6742367148399353","0.4826582595705986","0.37903913855552673","0.6619174480438232","0.4481624886393547","0.34542685747146606","0.6010640859603882","0.3118147924542427","0.2889330983161926","0.3459785282611847","0.19211077317595482","0.1594153493642807","0.21894951164722443"
